Country,Decade,AvgTemp_Decade,AvgTemp_PrevDecade,ThermalAccel
Canada,2010,6.912554666666665,5.970076666666666,0.9424779999999995
Iraq,2010,21.87778285714285,21.14646041666666,0.7313224404761911
Georgia,2010,10.314318181818182,9.61029166666667,0.7040265151515115
Armenia,2010,10.314318181818182,9.610291666666674,0.7040265151515079
Iran,2010,16.996710443590633,16.365955367303084,0.6307550762875493
Turkey,2010,14.560861744966447,13.957474848435197,0.6033868965312497
Syria,2010,19.652107491856675,19.062548809523815,0.5895586823328607
Bahrain,2010,27.685162790697678,27.126591666666666,0.5585711240310118
Saudi Arabia,2010,26.534431893687717,25.978549043062213,0.5558828506255047
Laos,2010,25.2183409090909,24.663841666666666,0.5544992424242352
