YearDouble,prediction
2014.0,5.974047647057446
2015.0,6.017377251129787
2016.0,6.0607068552021275
2017.0,6.104036459274482
2018.0,6.147366063346823
2019.0,6.190695667419163
2020.0,6.234025271491518
2021.0,6.277354875563859
2022.0,6.320684479636199
2023.0,6.364014083708554
2024.0,6.4073436877808945
2025.0,6.450673291853235
2026.0,6.49400289592559
2027.0,6.53733249999793
2028.0,6.580662104070271
2029.0,6.623991708142626
2030.0,6.667321312214966
2031.0,6.710650916287307
2032.0,6.7539805203596615
2033.0,6.797310124432002
